id_venta,cliente,producto,color,vendedor,monto,fecha
1,Pablo Melo,Persiana enrollable,Blanco,Sofia Gomez,442954,2026-05-01
2,Camilo Sánchez,Persiana enrollable,Negro,Ana Torres,165815,2026-04-20
3,Nataly Arias Tamayo,Persiana enrollable,Negro,Sofia Gomez,238817,2026-08-01
4,Jairo Ramos Rojas,Persiana enrollable,Gris,Ana Torres,173843,2026-07-19
5,Johanna Martínez Torres,Persiana veneciana,Azul,Luis Ramirez,291424,2026-04-25
6,Brayan Hernández,Persiana enrollable,Azul,Luis Ramirez,292855,2026-08-13
7,Enrique Horacio Marín Rueda,Panel japones,Negro,Sofia Gomez,207024,2026-04-07
8,,Cortina blackout,Negro,Sofia Gomez,247404,2026-04-17
9,Rosalba Bolaños Zambrano,Cortina blackout,Gris,Sofia Gomez,341158,2026-08-20
10,Margarita Arango,Persiana enrollable,Negro,Sofia Gomez,462996,2026-03-29
11,Luis Jorge Miranda Becerra,Cortina translucida,Gris,Ana Torres,293016,2026-04-29
12,Yazmín Molina Contreras,Persiana enrollable,Gris,Luis Ramirez,160337,2026-08-14
13,Luis Tulio Morales Hoyos,Cortina translucida,Gris,Sofia Gomez,456184,2026-08-09
14,Jhon Beltrán,Panel japones,Blanco,Luis Ramirez,482461,2026-09-10
15,Luz Andrea Ávila,Persiana enrollable,Blanco,Sofia Gomez,334769,2026-08-09
16,Carmen Teresa Ardila López,Cortina blackout,Azul,Ana Torres,409598,2026-08-24
17,Alonso Nieto,Persiana veneciana,Beige,Sofia Gomez,157609,2026-08-24
18,Jhon Camargo Quintero,Cortina translucida,Azul,Luis Ramirez,212240,2026-08-14
19,Vilma Lizeth Caro,Persiana enrollable,Negro,Ana Torres,345923,2026-04-27
20,Rocío Melo,Persiana veneciana,Beige,Luis Ramirez,485055,2026-09-15
21,Juan Medina Triana,Persiana enrollable,Blanco,Sofia Gomez,386420,2026-05-11
22,Dolly María Perdomo Moreno,Panel japones,Azul,Ana Torres,335931,2026-04-21
23,Dayana Mercedes Parra,Persiana veneciana,Azul,Sofia Gomez,117745,2026-05-26
24,Carlos Emiro Giraldo,Cortina blackout,Negro,Ana Torres,310827,2026-09-18
25,Juan Henry Velasco,Cortina blackout,Blanco,Ana Torres,147684,2026-04-18
26,Beatriz Londoño Moreno,Persiana veneciana,Negro,Ana Torres,80474,2026-05-04
27,Socorro Cristina Cabrera,Cortina translucida,Beige,Sofia Gomez,288583,2026-07-04
28,Nohora Edilma Sanabria Bohórquez,Persiana veneciana,Negro,Ana Torres,282956,2026-09-06
29,Álvaro Correa Zapata,Panel japones,Beige,Sofia Gomez,178140,2026-05-03
30,Fanny Beatriz Suárez Villamizar,Cortina translucida,Blanco,Luis Ramirez,416065,2026-06-21
31,Patricia María Gamboa Angulo,Persiana veneciana,Beige,Ana Torres,141917,2026-05-06
32,Emiro Moreno,Persiana enrollable,Blanco,Sofia Gomez,218053,2026-08-29
33,Esperanza Stella Beltrán Rivera,Persiana enrollable,Negro,Ana Torres,430939,2026-08-21
34,Danilo Jorge Ortega,Cortina translucida,Azul,Luis Ramirez,348850,2026-06-20
35,Diego Antonio Carrillo,Cortina blackout,Blanco,Luis Ramirez,492544,2026-06-10
36,,Cortina blackout,Azul,Luis Ramirez,386021,2026-04-17
37,Alfredo Hernández,Cortina translucida,Azul,Luis Ramirez,282825,2026-05-31
38,María García,Panel japones,Beige,Ana Torres,224209,2026-09-16
39,José Alfonso Beltrán Ruiz,Cortina blackout,Gris,Luis Ramirez,136073,2026-07-23
40,Dolores Medina Zambrano,Persiana veneciana,Azul,Sofia Gomez,336655,2026-05-01
41,Gloria Ruiz Castillo,Persiana enrollable,Negro,Sofia Gomez,307625,2026-07-15
42,Patricia Gladys Mejía Acosta,Cortina blackout,Gris,Sofia Gomez,238160,2026-06-13
43,Víctor Andrés Parra,Cortina translucida,Beige,Sofia Gomez,403991,2026-09-16
44,Lucía Martha Mosquera Castro,Cortina blackout,Blanco,Sofia Gomez,139487,2026-06-30
45,Alejandra Adriana Cáceres Gutiérrez,Panel japones,Gris,Sofia Gomez,118526,2026-08-22
46,Melissa Leydi Rojas,Cortina translucida,Blanco,Sofia Gomez,330176,2026-08-11
47,Jorge Ramírez Rendón,Persiana enrollable,Blanco,Luis Ramirez,432313,2026-05-12
